id;libelle;photo;photo_content_type
1;Customer tolerance;../fake-data/blob/hipster.png;image/png
2;circuit innovative;../fake-data/blob/hipster.png;image/png
3;backing Licensed magenta;../fake-data/blob/hipster.png;image/png
4;Car orchestrate;../fake-data/blob/hipster.png;image/png
5;redundant reboot;../fake-data/blob/hipster.png;image/png
6;Computer;../fake-data/blob/hipster.png;image/png
7;wireless SCSI Solutions;../fake-data/blob/hipster.png;image/png
8;Buckinghamshire Gloves;../fake-data/blob/hipster.png;image/png
9;transmitting;../fake-data/blob/hipster.png;image/png
10;high-level optimizing;../fake-data/blob/hipster.png;image/png
