id;humidite_min;humidite_max;temperature_min;temperature_max;limunosite;libelle
1;37073;43815;81853;38326;19693;Chicken ivory Gloves
2;55617;33484;96929;41859;67209;Shirt Hill end-to-end
3;99546;85472;7803;87482;95649;rich
4;75683;81642;10480;93850;12186;Georgia
5;74133;38869;23068;83795;21975;Granite Chair Games
6;44666;5117;73930;86622;92331;quantify invoice generate
7;29626;21686;7555;40432;6351;Personal Kingdom
8;66431;8738;79320;8443;7393;e-business back-end
9;76807;59988;53054;21872;51396;Bedfordshire
10;48401;48144;47862;73048;26372;Kansas Cambridgeshire XML
