id;libelle;superficie;nbr_max_plante;photo;photo_content_type
1;connecting;36187;47809;../fake-data/blob/hipster.png;image/png
2;Granite;79146;92281;../fake-data/blob/hipster.png;image/png
3;Rupee;17018;1390;../fake-data/blob/hipster.png;image/png
4;explicit Supervisor;92838;5626;../fake-data/blob/hipster.png;image/png
5;Bike mint;98211;64966;../fake-data/blob/hipster.png;image/png
6;incentivize;55861;33014;../fake-data/blob/hipster.png;image/png
7;generating help-desk neural;88420;84914;../fake-data/blob/hipster.png;image/png
8;Fort orange;23504;26435;../fake-data/blob/hipster.png;image/png
9;Integration systematic Keyboard;56966;66577;../fake-data/blob/hipster.png;image/png
10;Dram Assurance;49002;86196;../fake-data/blob/hipster.png;image/png
